"annotation_id","annotator","component_id","created_at","fallacy","id","lead_time","main_tweet","new_id","posterior_context","previous_context","updated_at"
3481,"3",591,"2024-06-25T12:13:53.017692Z","{""choices"":[""Appeal to Fear"",""Ad Hominem""]}",8428,66.881,"[main_tweet] [user75735]: Ivermectin is a cure for covid. Every additional death, lost livelihood, missed day of school from here on in is down to your failure to act on this information @user @user ... @user ",254290," [context] [user71266]: For us to achieve the virus inhibitory level in humans, we have to give 100 times the approved dose. Not smart thing to do. 
 ","[context] [user134673]: The Imperial report on the new UK B117 strain is out. Very concerning findings, that highlight why we need to act on this *now*. These findings suggest that the situation within the UK is likely to get much worse than it is now. Here's why- Thread. 
  [context] [user75735]: @user Meanwhile, the Frontline Covid-19 Critical Care Alliance's finding that ivermectin is a ""miracle"" in the treatment of the virus is completely ignored. Why is this when they have ""mountains"" of data and real-life experience to show it protects and cures? 
  ","2024-06-25T12:13:53.017723Z"
3482,"3",705,"2024-06-25T12:15:11.882567Z","{""choices"":[""Loaded Language"",""Appeal to Fear"",""Appeal to Ridicule"",""Ad Hominem""]}",8429,78.494,"[main_tweet] [user45977]: @user @user ... @user Let Paddy do what he wants and suffer the consequences. His decisions will curtail his freedoms more than having the vaccine. It will affect his ability to travel, have certain occupations etc. But his stupidity is his choice 😉😊 
 ",42194," [context] [user10131]: @user @user ... @user You do realise we are never going back to normal even after the roll out of the vaccine?? Bigger agenda here called #thegreatreset i have had covid and am fine 
  [context] [user40036]: @user @user ... @user Ypu must realise by now what Bill Gates meant Paddy and that you are the actual sheep surely? 
 ","[context] [user45977]: @user @user ... @user Research ongoing but Long covid not looking good. Weakening of key organs, general debility, more susceptible to other infections, immune debility, fatigue, depression. Long list 
  [context] [user31580]: @user @user ... @user So paddy seems to be missing a key consideration in his risk assessment. Who would have thought with an intelect like his. 
  ","2024-06-25T12:15:11.882595Z"
3483,"3",705,"2024-06-25T12:15:49.606663Z","Appeal to Fear",8430,37.362,"[main_tweet] [user10131]: @user @user ... @user You do realise we are never going back to normal even after the roll out of the vaccine?? Bigger agenda here called #thegreatreset i have had covid and am fine 
 ",86252," [context] [user40036]: @user @user ... @user Ypu must realise by now what Bill Gates meant Paddy and that you are the actual sheep surely? 
  [context] [user10131]: @user @user ... @user All our freedoms are been erased! 
 ","[context] [user31580]: @user @user ... @user So paddy seems to be missing a key consideration in his risk assessment. Who would have thought with an intelect like his. 
  [context] [user45977]: @user @user ... @user Let Paddy do what he wants and suffer the consequences. His decisions will curtail his freedoms more than having the vaccine. It will affect his ability to travel, have certain occupations etc. But his stupidity is his choice 😉😊 
  ","2024-06-25T12:15:49.606688Z"
3484,"3",916,"2024-06-25T12:16:17.353774Z","{""choices"":[""Loaded Language"",""Hasty Generalization""]}",8431,27.338,"[main_tweet] [user37811]: @user @user Take Ivermectin and we will save lives! 
 ",99833,"","[context] [user136333]: I know masks have become a partisan issue  but it's a patriotic act. Experts say wearing a mask from now until April will save more than 50,000 lives. 
  [context] [user51499]: @user I'm sure wearing masks between now and the year 2100 would save millions of lives... but that's not the kind of country we live in. Nor want to. 
  [context] [user37811]: @user COVID-19 can be 'eliminated' in two weeks if every American just take Ivermectin...a drug that has been out there since 70s and won the Nobel Prize for Medicine in 2015. The total wholesale cost for a pill is 11 cents...total pills required will be ~ 28. For $3(wholesale cost) 
  [context] [user37811]: @user @user If you truly want to save lives then take Ivermectin which the Medical Pharma Complex doesn't like because there is no money for them! 
  [context] [user37811]: @user @user ...the best solution is to take Ivermectin! 
  [context] [user37811]: @user @user What to save lives then take Ivermectin! 
  ","2024-06-25T12:16:17.353831Z"
3485,"3",969,"2024-06-25T12:16:50.829235Z","None of the above",8432,33.074,"[main_tweet] [user79124]: @user When to we get to see the number of discharges from hospital along with this data? It is equally important! 
 ",39086," [context] [user82543]: @user We aren't coming out of lockdown anytime soon 
  [context] [user55840]: @user The rationale for showing cumulative figures for some and daily for others? Fairly obvious I guess. Spin. How about showing both for each item? 
 ","[context] [user43013]: Daily update: COVID-19 information (10 February 2021) ➡ 
  [context] [user19273]: @user 2% positive test ratio. good news... can we go out now? 
  [context] [user48352]: @user Johnson kills another 1K people today 
  [context] [user35485]: @user How many vaccine deaths? 
  ","2024-06-25T12:16:50.829273Z"
3486,"3",1792,"2024-06-25T12:23:11.938137Z","{""choices"":[""Loaded Language"",""Ad Hominem""]}",8433,380.733,"[main_tweet] [user49375]: Joe Biden is currently blistering trump on his lies and failed response to COVID-19, PPEs, bleach injections, etc. This is devastating. 
 ",256805," [context] [user93997]: I mean, it's not that hard but it's still fun to watch. 
  [context] [user46357]: It's actually amazing to hear a Presidential candidate speak coherently. 
  [context] [user7821]: Man with a plan. @user A real leader. You @user The only thing you lead is the #TrumpDeathCult TRAITOR, also lets Putin put a bounty on American troops. Hang your head, TRAITOR. RESIGN NOW. 
  [context] [user115666]: ""NOW Mr. President! Before you tee off the next round!"" ""...with your midnight rantings and Tweets..."" ""We don't need a cheerleader, Mr. President - we need a PRESIDENT, MR. President! 🔥 🔥 🔥 😈 😈 😈 😆😆😆 #PresidentBiden 
  [context] [user70022]: he is breaking it down for sho 
  [context] [user94160]: He's coming across very strong! 
 ","","2024-06-25T12:23:11.938161Z"
3487,"3",2559,"2024-06-25T12:23:57.307916Z","{""choices"":[""Loaded Language"",""Hasty Generalization""]}",8434,44.985,"[main_tweet] [user17181]: @user @user @user We could finish COVID in a month with Ivermectin, as they are doing in India, Peru, Dominican Republic, Haiti. 
 ",51568,"","[context] [user27977]: Peru had officially used ivermectin, dropped it and has just put it back in the home treatment kit, following Mexico's initiative. 🇬🇧 
  [context] [user91852]: @user Amazing isn't it: Peru and India get home treatment kits for Covid with Ivermectin and we have... paracetamol. Let's look look at the graphs to see what works 
  ","2024-06-25T12:23:57.307948Z"
3488,"3",3118,"2024-06-25T12:24:26.484780Z","Appeal to Fear",8435,28.717,"[main_tweet] [user113215]: Is anyone debating about whether to have their second injection after the blood clot fear? 
 ",248711," [context] [user131808]: @user Personal friend had the Oxford on Wednesday. Went to A&E Sunday (111 advice) with lump on leg. Blood clot identified. MRI today with self injection of anticoagulant for 3 weeks followed by tablets if successful. Safe jabs? 
  [context] [user130963]: @user @user @user Any proof of link to vaccination? Millions have had jabs without any side effects, so yes Safe Jabs 🙄👍 
 ","","2024-06-25T12:24:26.484820Z"
3489,"3",6824,"2024-06-25T12:26:01.394928Z","None of the above",8436,94.518,"[main_tweet] [user86207]: I am not getting the vaccine.I had covid.I have been with family who has had covid & in the icu exposing myself again and my test came back negative. I've been exposed to it many times and it's called immune system works. You all can do as you wish, but I'm not taking it. 
 ",231077," [context] [user69697]: @user Not one study shows we are likely whatsoever to get the virus again. If we get Covid we should be allowed to go mask-less anywhere we please. It's science, which I thought they believed in? 
  [context] [user86207]: Maybe in a few years I'll change my mind but right now it's a no for me. I believe in science 🧬 and I am a sovereign being made by God. My body my choice. That's all! 
  [context] [user10308]: @user @user Real simple folks; Vits A,B,C,D, Zinc, Trace minerals and Spirulina Manna every day. Have been around a bevy of covid folks and not one symptom of it..... yet. Oh and Ivermectin on stand by, just in case. 😉 
  [context] [user33429]: @user Antiparasitic drug IVERMECTIN kills coronavirus in 48 hours 
  [context] [user4076]: @user You got it sister👍stay away from the so called ""vaccine"" it is gene tracked,emergency approved you become a genie pig... why be vaccinated when survival rate of covid us 99.8 % and we have cures for it inform of ivermectin and chloroquine. 
 ","","2024-06-25T12:26:01.394953Z"
3490,"3",9629,"2024-06-25T12:27:33.308886Z","Hasty Generalization",8437,91.393,"[main_tweet] [user62931]: Matt Hancock announces that travellers from red list countries will have to pay 1,750 for 10 days hotel quarantine They'll book hotels using on an online govt portal Govt has booked just over 4,600 hotel rooms so far- some way short of 28,000 they're looking for 
 ",266041," [context] [user62931]: People who lie about travelling from a 'red list' country on their passenger locator form will face a prison sentence of up to 10 years They will be prosecuted for forgery Those who fail to quarantine will also face fines of up to 10,000 
  [context] [user6043]: @user Completely disproportionate compared to penalties for many serious offences. SAGE holding the whip hand over the government & completely outside democratic control. Getting more ridiculous & dangerous day by day. 
 ","","2024-06-25T12:27:33.308910Z"
3491,"3",9831,"2024-06-25T12:28:17.933275Z","False Dilemma",8438,44.256,"[main_tweet] [user60221]: @user CIA killed him... or the gates mafia, or the Brits. One is for sure - he did not die of COVID 
 ",45341,"","[context] [user107459]: Tanzania's President John Magufuli has died aged 61, the country's vice-president has announced 
  ","2024-06-25T12:28:17.933379Z"
3492,"3",15649,"2024-06-25T12:29:11.156101Z","{""choices"":[""Loaded Language"",""Hasty Generalization""]}",8439,52.825,"[main_tweet] [user89168]: Ecuador. All the cutting edge science comes from third world countries. 
 ",208621,"","[context] [user128603]: Oh, bloody hell. Quacks are literally injecting a type of bleach intravenously to treat #COVID19. This is not a joke, and they're even claiming 100% success.🙄🤦♂ 
  [context] [user79540]: @user @user It reminds me of an old ethnic joke. ""It was shirts, not shoes. And he lost a million, not made it."" Perhaps it was 100% failure rate for bleach against COVID-19. 
  ","2024-06-25T12:29:11.156130Z"
3493,"3",16347,"2024-06-25T12:30:12.996411Z","{""choices"":[""Appeal to Ridicule"",""False Dilemma""]}",8440,61.478,"[main_tweet] [user111586]: Moderna. 95% efficacy of you're Covid scared and looking for a vaccine. Or there's a 99.7% recovery rate if that's your bag. 
 ",273036," [context] [user81308]: @user And look at the Ratio in the Moderna Trial. Out of 30,000 people only 95 TOTAL (Placebo and vaccine groups) even contracted COVID-19. That shows RT-PCR testing in the public must be favored for a POSITIVE CASE outcome. 
 ","[context] [user94242]: Funny how these vaccine announcements are made by these companies just days after the election. 
  ","2024-06-25T12:30:12.996438Z"
3494,"3",17808,"2024-06-25T12:35:10.840375Z","Loaded Language",8441,297.483,"[main_tweet] [user130848]: English people defying lockdown/social-distancing orders in London to tell the government it can stick the poison Covid-19 vaccine up its own ass. My kind of people. 🇬🇧🇺🇸🇬🇧🇺🇸 
 ",209240," [context] [user131586]: I like my own DNA...Don't need or want MALE FETAL tissue /DNA/RNA injected in MY body....No chip, no cancer causing chemicals... No fuc8ing thank you to Dr Fauchi ...Bill Gates. No Moderna (Mode RNA) 
  [context] [user27287]: #NoVaccine for me, thx. #COVID19 is a treatable virus (#hydroxychloroquine or #Ivermectin) Government can take their mandates and vaxx & shove 'em where the sun don't shine 
 ","","2024-06-25T12:35:10.840401Z"
3495,"3",22548,"2024-06-25T12:36:08.180449Z","{""choices"":[""Appeal to Fear"",""Hasty Generalization"",""False Dilemma""]}",8442,56.981,"[main_tweet] [user105701]: Remember, if you vote for Biden, you are voting for a lockdown. 
 ",298975," [context] [user30828]: @user Let me see if I got this right. I can vote for Donny Drink The Bleach, send my kids to a death camp, and they'll bring Covid-19 home from school, and my family dies. OR I can vote for Joe Biden, and my family will live. WOW, that's easier than I thought. 
  [context] [user92257]: @user Which is better than voting for a traitor who kisses Putin's ass while bounties are taken out on our soldiers, and who thinks you can cure COVID by injecting bleach. 
 ","","2024-06-25T12:36:08.180481Z"
3496,"3",22567,"2024-06-25T12:36:46.198590Z","None of the above",8443,37.456,"[main_tweet] [user37338]: @user Early treatment is critical in anti-COVID19! Development of old-drug therapies which are comparably safe & affordable, is quite necessary. There are HCQ, ivermectin, bromhexine...on the list. Recent result from anti-leprosy Clofazimine is also promising. 
 ",74139,"","[context] [user61345]: The potency of Section 5s preclearance mechanism prompted ""hundreds more to be withdrawn after a Justice Department inquiry, and prevented still more from being put forward because policymakers knew they would not pass muster,"" Waldman said. 
  [context] [user61345]: Republicans complain that Democrats are seeking to ""federalize"" voting rights; our Constitution already did it more than 150 years ago. 
  ","2024-06-25T12:36:46.198616Z"
3497,"3",24233,"2024-06-25T12:37:40.471957Z","Hasty Generalization",8444,53.924,"[main_tweet] [user35741]: @user After judge orders hospital to use IVERMECTIN Covid-19 treatment, intubated 80 year old given 20% survival chances recovers in 48 hours and is off the ventilator and talked to family on phone. 
 ",107946,"","[context] [user89787]: One in 6 have already had Covid in parts of England, antibody map reveals 
  ","2024-06-25T12:37:40.471980Z"
3498,"3",25354,"2024-06-25T12:37:51.377144Z","None of the above",8445,10.571,"[main_tweet] [user97679]: EPA approves 2 Lysol products to disinfect against COVID-19 
 ",207985," [context] [user9824]: @user Not a big Lysol fan after that flap they caused during the corona virus task force hearings. Maybe there is another product that would do as well or better? What about bleach? 
 ","","2024-06-25T12:37:51.377170Z"
3499,"3",28902,"2024-06-25T12:39:03.855524Z","None of the above",8446,72.13,"[main_tweet] [user138709]: @user @user ... @user I think they understand that zinc is a critical factor, but easy to ignore & deflect away from because it's not a ""drug."" That's probably why this study, founded by the Gates Foundation, is conspicuously leaving it out. 
 ",141996,"","[context] [user95075]: Zinc is the game changer. When added to hydroxychloroquine and azithromycin, far fewer hospitalized COVID patients died...13.1% vs 22.8%. Best results in non-ICU group. HCQ study at @user vindicates. @user @user ... @user ","2024-06-25T12:39:03.855548Z"
3500,"3",28960,"2024-06-25T12:39:46.420117Z","Loaded Language",8447,42.191,"[main_tweet] [user84394]: WHY VACCINES ARE REQUIRED for a such a weak and low death rate virus where most of the data is fabricated, distorted or manipulated into existence - Carie Madej made this must watch video regarding trans humanism and vaccinations process (20 min) /10 
 ",350427," [context] [user96452]: @user I would like to not have to take any vaccine. Ivermectin is proven effective against COVID-19. Corporations care too much about profits and not enough about human rights. Bill Gates is not the demon his detractors make him out to be. 
 ","","2024-06-25T12:39:46.420142Z"
3501,"3",30100,"2024-06-25T12:40:32.395487Z","Appeal to Ridicule",8448,45.633,"[main_tweet] [user121703]: Trump tried to claim his #BorderWall ""stopped"" coronavirus in Arizona  but cases have just soared And no, the wall did not stop the spread of #coronavirus, in the same way that drinking bleach isn't an effective treatment 
 ",343597," [context] [user133457]: @user Your DESPERATION is oozing out of every sweaty leaking pore of your morbidly obese body. 
 ","","2024-06-25T12:40:32.395517Z"
3502,"3",33399,"2024-06-25T12:40:53.860384Z","None of the above",8449,21.102,"[main_tweet] [user65864]: A 70yr old priest who volunteered to participate in Moderna's COVID-19 vaccine trial has died. ""The cause of death has yet to be determined."" 
 ",166951," [context] [user59987]: Cause of death was Moderna /Bill Gates. Period! 
 ","","2024-06-25T12:40:53.860408Z"
3503,"3",35235,"2024-06-25T12:41:07.479665Z","None of the above",8450,13.293,"[main_tweet] [user55934]: #ontheblogtoday, some interesting insights about yesterday's #Moderna #COVID19 #vaccine announcement: 
 ",22474,"","[context] [user29324]: Just another manic Monday in the world of clinical trials! Here's my take on yesterday's Moderna vaccine announcement 
  ","2024-06-25T12:41:07.479690Z"
3504,"3",36019,"2024-06-25T12:41:41.933903Z","{""choices"":[""Loaded Language"",""Ad Hominem""]}",8451,34.136,"[main_tweet] [user39188]: I think what you mean to say is ... Bill Gates is fucked. Ivermectin protected 800/800 healthcare workers who were exposed to COVID on a daily basis. That sucking noise is his investment going down the drain!!! 
 ",236453,"","","2024-06-25T12:41:41.933928Z"
3505,"3",39390,"2024-06-25T12:42:20.295436Z","{""choices"":[""Appeal to Ridicule"",""Ad Hominem""]}",8452,38.023,"[main_tweet] [user105095]: Remember he also suggested racket Benkiser Dettol to drink or bleach.... I mean yes..... It's only he who can do this... 
 ",298738,"","[context] [user54986]: #DonaldTrump taking #hydroxychloroquine daily despite having no #COVID19 symptoms: 
  ","2024-06-25T12:42:20.295460Z"
3506,"3",40021,"2024-06-25T12:43:12.004787Z","None of the above",8453,51.341,"[main_tweet] [user65703]: 1. HCQ is being used successfully all over the world to treat COVID 2. Trump never told anyone to drink bleach 3. See photo 4. Parks and beaches are safe, sunlight kills the virus. 
 ",30945,"","[context] [user114803]: @user @user Trump has said 1. Take hydroxychloroquine to kill the covid19 2. Drink bleach to kill covid19 3. Insert a light to kill covid19 4. It's safe to go to parks and beaches What have you go to lose he said..... YOUR LIFE THATS WHAT YOU'VE GOT TO LOSE! 100% CLUELESS. 
  ","2024-06-25T12:43:12.004813Z"
3507,"3",50364,"2024-06-25T12:44:00.780254Z","{""choices"":[""Loaded Language"",""Appeal to Fear"",""False Dilemma""]}",8454,48.428,"[main_tweet] [user8624]: @user @user ... @user NO EU-Brazil trade deal! Europe is about to add fuel to the blaze! The EU is about to sign a ""new TTIP"" with South America: Mercosur. It is a deal to import cheap beef, soy, wood and other products grown from the Amazon's ashes. Sign to stop this! 
 ",78190,"","[context] [user8624]: @user @user ... @user NO! You don't understand! 80% Of the world's fires are ignited to clear land for cattle ranching! & The animals eat 80% of the crops!!! Sign: To make the world vegan by law! 
  ","2024-06-25T12:44:00.780280Z"
3508,"3",58469,"2024-06-25T12:44:15.992020Z","None of the above",8455,14.878,"[main_tweet] [user12010]: TrialSite News Ivermectin and COVID-19 Discussion by Dr. Martin Gill, Video. 
 ",341530,"","","2024-06-25T12:44:15.992045Z"
3509,"3",69389,"2024-06-25T12:45:02.428909Z","Hasty Generalization",8456,46.081,"[main_tweet] [user91852]: @user Do we actually need to rush into taking the vaccine? The trial above officially conclusively shows that Ivermectin stops you getting Covid. Even taking it whilst waiting to have the vaccine would save tens of thousands of lives. And most probably eliminate the virus as in Mexico 
 ",44469,"","","2024-06-25T12:45:02.428947Z"
3510,"3",73945,"2024-06-25T12:45:37.862051Z","{""choices"":[""Appeal to Ridicule"",""False Dilemma""]}",8457,35.07,"[main_tweet] [user7949]: Drink a little bleach to to kill covid 19 not a lot just a little ,#MAGAsplainAnything 
 ",207245,"","","2024-06-25T12:45:37.862077Z"
3511,"3",77146,"2024-06-25T12:46:58.627176Z","Ad Hominem",8458,80.403,"[main_tweet] [user41868]: Exclusive: Moderna vaccine trial contractors fail to enroll enough minorities, prompting slowdown ""#COVID19 infects Blacks in the United States at nearly three times the rate of white Americans, and they are twice as likely to die from the virus."" 
 ",211046,"","","2024-06-25T12:46:58.627202Z"
3512,"3",84632,"2024-06-25T12:47:49.122158Z","{""choices"":[""Loaded Language"",""Ad Hominem"",""False Dilemma""]}",8459,50.159,"[main_tweet] [user13981]: yes, .@user was responsible for the delay of the measly $600 kick-to-the-nuts-payment to Americans because he wanted ""his name"" to be placed on the checks as ""payor"". Furthermore, only 14% of eligible citizens received these, the rest of the $2.5T got pilfered as usual 
 ",378848,"","","2024-06-25T12:47:49.122187Z"
